,date,price(RMB/ton),highest(RMB/ton),lower(RMB/ton),close(RMB/ton),upper(percent),daily_total_volume(tons),daily_total_transaction_volume(RMB)
0,2024/12/31,97.96,97.96,97.26,97.49,- 0.23%,"116,368","11,395,448.00"
1,2024/12/30,97.28,98.05,97.22,97.71,- 0.03%,"594,823","57,961,337.28"
2,2024/12/27,97.22,98.40,97.01,97.74,- 0.06%,"1,757,294","170,598,649.36"
3,2024/12/26,98.09,98.09,97.51,97.80,- 0.14%,"1,434,650","139,294,736.14"
4,2024/12/25,98.35,98.35,97.73,97.94,- 0.30%,"525,935","51,609,785.27"
5,2024/12/24,97.85,98.60,97.85,98.23,- 0.23%,"704,375","68,814,277.87"
6,2024/12/23,98.60,98.60,97.64,98.46,+ 0.13%,"1,468,566","135,512,913.15"
7,2024/12/20,98.40,98.52,97.95,98.33,+ 0.39%,"2,543,230","248,148,395.84"
8,2024/12/19,98.24,98.24,97.64,97.95,+ 0.44%,"2,727,079","266,929,409.11"
9,2024/12/18,98.15,98.15,97.21,97.52,+ 0.03%,"2,775,202","263,623,084.64"
10,2024/12/17,98.54,98.59,97.01,97.49,- 0.68%,"1,723,068","164,562,877.30"
11,2024/12/16,99.69,100.69,97.84,98.16,- 2.56%,"2,538,798","248,647,921.80"
12,2024/12/13,99.66,101.74,98.95,100.74,+ 0.84%,"5,081,273","496,425,710.05"
13,2024/12/12,101.15,101.29,99.88,99.90,- 1.29%,"9,168,459","907,339,984.27"
14,2024/12/11,99.23,102.03,99.23,101.21,- 0.45%,"9,895,425","967,225,752.53"
15,2024/12/10,101.77,101.77,101.62,101.67,- 0.05%,"9,733,692","968,814,391.02"
16,2024/12/9,101.06,101.82,101.06,101.72,+ 0.77%,"6,325,146","638,882,124.08"
17,2024/12/6,98.46,101.12,98.44,100.94,+ 0.04%,"2,608,093","258,171,326.34"
18,2024/12/5,100.96,101.25,100.70,100.90,+ 0.20%,"2,013,641","189,517,157.81"
19,2024/12/4,101.14,101.14,100.05,100.70,- 0.06%,"3,669,020","355,289,573.59"
20,2024/12/3,101.72,102.25,98.75,100.76,- 1.01%,"3,016,953","293,811,034.90"
21,2024/12/2,102.30,102.50,101.50,101.79,- 0.58%,"4,944,441","482,985,443.44"
22,2024/11/29,102.09,102.38,100.77,102.38,+ 0.06%,"6,469,210","638,632,974.49"
23,2024/11/28,102.88,104.61,100.53,102.32,- 0.57%,"3,268,352","307,333,521.57"
24,2024/11/27,102.88,103.31,102.08,102.91,+ 0.06%,"5,989,204","578,155,294.53"
25,2024/11/26,102.36,104.16,102.13,102.85,- 1.24%,"5,567,219","545,530,194.19"
26,2024/11/25,104.35,104.48,104.07,104.14,- 0.61%,"5,091,901","477,563,378.25"
27,2024/11/22,104.84,104.84,104.65,104.78,+ 0.07%,"3,684,953","352,787,354.65"
28,2024/11/21,104.83,104.94,104.62,104.71,- 0.14%,"3,282,986","304,097,841.36"
29,2024/11/20,104.88,104.90,104.82,104.86,- 0.04%,"2,074,888","196,210,793.61"
30,2024/11/19,104.78,105.10,104.65,104.90,+ 0.27%,"3,124,468","283,000,960.27"
31,2024/11/18,104.76,104.81,104.51,104.62,- 0.15%,"3,158,389","314,681,750.98"
32,2024/11/15,104.87,105.13,104.78,104.78,- 0.29%,"3,476,636","352,866,596.38"
33,2024/11/14,105.35,105.47,105.02,105.09,- 0.53%,"1,215,301","123,364,949.02"
34,2024/11/13,105.34,106.02,105.19,105.65,+ 0.49%,"2,169,584","220,108,025.58"
35,2024/11/12,104.37,105.51,103.58,105.14,- 0.28%,"1,457,869","145,609,511.87"
36,2024/11/11,105.06,105.43,104.85,105.43,+ 0.38%,"2,012,735","208,696,746.98"
37,2024/11/8,104.90,105.54,104.77,105.03,- 0.35%,"2,798,318","282,512,402.67"
38,2024/11/7,105.32,105.76,105.32,105.40,+ 0.16%,"813,062","79,961,567.00"
39,2024/11/6,105.29,105.29,104.81,105.23,+ 0.19%,"601,405","62,326,922.55"
40,2024/11/5,104.04,105.23,104.04,105.03,+ 0.31%,"2,274,030","234,757,072.30"
41,2024/11/4,104.50,104.74,104.50,104.71,+ 0.27%,"621,166","63,698,662.80"
42,2024/11/1,104.09,104.46,104.09,104.43,+ 0.40%,"1,685,565","158,379,835.49"
43,2024/10/31,103.53,104.15,103.32,104.01,- 0.16%,"439,379","45,040,793.83"
44,2024/10/30,100.91,104.29,100.91,104.18,+ 0.77%,"354,074","31,715,481.49"
45,2024/10/29,103.69,103.69,102.62,103.38,- 0.06%,"1,117,428","103,335,207.92"
46,2024/10/28,104.14,104.14,102.44,103.44,- 0.78%,"1,252,412","123,281,229.94"
47,2024/10/25,104.03,104.30,103.00,104.25,+ 0.20%,"390,666","40,658,535.40"
48,2024/10/24,104.01,104.14,104.01,104.04,- 0.06%,"386,268","40,039,863.09"
49,2024/10/23,104.04,104.14,104.00,104.10,- 0.03%,"546,800","55,927,070.00"
50,2024/10/22,104.06,104.33,104.00,104.13,- 0.01%,"1,376,416","137,825,583.49"
51,2024/10/21,103.20,104.53,103.20,104.14,+ 0.61%,"317,563","32,463,870.50"
52,2024/10/18,103.87,104.60,103.31,103.51,+ 0.09%,"1,059,325","106,959,152.86"
53,2024/10/17,102.39,103.80,102.39,103.42,+ 0.73%,"503,113","46,854,881.02"
54,2024/10/16,102.52,103.02,102.52,102.67,- 0.35%,"248,000","25,538,050.00"
55,2024/10/15,103.47,103.66,102.33,103.03,- 0.44%,"1,216,139","123,514,987.31"
56,2024/10/14,100.98,104.10,100.02,103.49,+ 2.52%,"428,713","43,455,011.00"
57,2024/10/11,103.09,103.66,99.93,100.95,- 1.90%,"971,092","95,131,900.47"
58,2024/10/10,100.10,103.17,99.73,102.90,+ 1.78%,"900,647","91,850,378.70"
59,2024/10/9,100.06,101.40,100.06,101.10,+ 1.07%,"907,601","79,313,177.00"
60,2024/10/8,99.90,100.07,99.90,100.03,+ 0.55%,"830,121","72,617,707.80"
61,2024/9/30,99.23,99.80,98.73,99.48,+ 0.32%,"997,536","97,014,291.20"
62,2024/9/27,99.54,99.67,99.00,99.16,- 1.05%,"725,153","72,603,575.90"
63,2024/9/26,96.73,100.30,96.40,100.21,+ 3.27%,"608,717","61,251,450.20"
64,2024/9/25,100.79,100.79,96.33,97.04,- 3.32%,"503,942","49,832,339.20"
65,2024/9/24,95.22,100.60,95.22,100.37,+ 5.41%,"584,686","55,733,137.60"
66,2024/9/23,95.22,95.22,95.22,95.22,+ 0.29%,"714,701","71,873,801.00"
67,2024/9/20,89.09,97.29,89.09,94.94,+ 3.34%,"581,949","58,064,601.46"
68,2024/9/19,91.49,93.09,91.49,91.87,- 1.31%,"336,000","33,791,550.00"
69,2024/9/18,93.09,93.09,93.09,93.09,+ 0.31%,"2,000","199,600.00"
70,2024/9/13,86.65,92.99,86.65,92.80,+ 3.20%,"679,802","67,802,278.92"
71,2024/9/12,89.92,90.08,89.92,89.92,+ 0.19%,"100,501","9,949,849.49"
72,2024/9/11,89.40,89.92,89.40,89.75,- 0.26%,"153,466","14,767,971.76"
73,2024/9/10,89.76,90.50,89.76,89.98,- 3.08%,"139,917","13,595,185.38"
74,2024/9/9,92.45,93.41,92.45,92.84,- 0.31%,"167,630","16,223,495.00"
75,2024/9/6,92.91,93.25,92.91,93.13,+ 0.67%,"38,100","3,720,300.00"
76,2024/9/5,90.23,93.38,90.06,92.51,- 0.66%,"926,300","77,046,232.80"
77,2024/9/4,93.10,93.27,93.10,93.12,+ 0.05%,"215,500","20,809,000.00"
78,2024/9/3,92.10,93.41,92.10,93.07,+ 0.70%,"12,350","1,185,835.00"
79,2024/9/2,89.41,92.77,89.41,92.42,+ 0.16%,"347,337","32,177,786.26"
80,2024/8/30,90.25,95.01,89.58,92.27,+ 2.78%,"124,367","11,620,781.69"
81,2024/8/29,88.42,92.04,88.42,89.77,+ 0.82%,"42,924","4,083,327.74"
82,2024/8/28,90.65,90.65,88.77,89.04,- 3.57%,"1,107,001","88,210,774.70"
83,2024/8/27,90.04,92.54,89.57,92.34,+ 2.13%,"154,671","14,593,853.46"
84,2024/8/26,89.66,90.54,89.66,90.41,+ 0.90%,"51,657","4,840,175.03"
85,2024/8/23,88.69,89.84,88.69,89.60,+ 0.43%,"190,700","17,851,676.00"
86,2024/8/22,88.34,89.54,88.00,89.22,+ 0.78%,"34,112","3,105,231.92"
87,2024/8/21,90.77,90.77,88.32,88.53,- 3.07%,"1,194,861","89,120,522.28"
88,2024/8/20,90.81,91.73,89.04,91.33,- 0.51%,"649,519","60,538,960.70"
89,2024/8/19,90.93,92.18,89.97,91.80,+ 0.56%,"140,767","13,105,824.40"
90,2024/8/16,91.50,91.50,91.00,91.29,+ 0.32%,"140,005","12,875,460.00"
91,2024/8/15,91.00,91.00,91.00,91.00,- 0.10%,"113,554","10,446,468.00"
92,2024/8/14,91.02,91.10,91.02,91.09,+ 0.07%,"15,000","1,376,750.00"
93,2024/8/13,91.83,91.83,90.97,91.03,- 0.87%,"68,370","6,242,647.00"
94,2024/8/12,90.57,92.97,90.57,91.83,+ 1.39%,"406,401","37,544,605.90"
95,2024/8/9,89.83,91.57,89.83,90.57,- 1.48%,"212,971","19,526,855.60"
