enterprise_id,date,industry,product,enterprise_type,daily_output_ton,daily_energy_kgce,daily_power_kwh,daily_coal_kg,daily_gas_m3,utilization_rate,unit_energy_kgce_per_ton
STEEL_A_001,2024-01-01,钢铁,螺纹钢,A类,11224.94,3849593.66,8618011.79,4151799.27,144721.57,91.4,342.95
STEEL_A_001,2024-01-02,钢铁,螺纹钢,A类,11165.11,3829073.54,8684647.57,4183901.61,143950.13,91.4,342.95
STEEL_A_001,2024-01-03,钢铁,螺纹钢,A类,13249.63,4543961.0,10250038.81,4938041.94,170825.6,91.4,342.95
STEEL_A_001,2024-01-04,钢铁,螺纹钢,A类,13639.44,4677645.96,10757652.5,5182589.08,175851.35,91.4,342.95
STEEL_A_001,2024-01-05,钢铁,螺纹钢,A类,14202.02,4870581.08,10557033.54,5085939.21,183104.55,91.4,342.95
STEEL_A_001,2024-01-06,钢铁,螺纹钢,A类,6844.25,2347234.15,5057700.32,2436589.44,88241.89,91.4,342.95
STEEL_A_001,2024-01-07,钢铁,螺纹钢,A类,7778.05,2667481.4,6025016.82,2902602.25,100281.26,91.4,342.95
STEEL_A_001,2024-01-08,钢铁,螺纹钢,A类,15818.39,5424915.18,12178722.8,5867201.58,203944.18,91.4,342.95
STEEL_A_001,2024-01-09,钢铁,螺纹钢,A类,15428.93,5291349.85,11895893.72,5730946.31,198922.93,91.4,342.95
STEEL_A_001,2024-01-10,钢铁,螺纹钢,A类,15576.74,5342042.25,12346362.54,5947963.43,200828.66,91.4,342.95
STEEL_A_001,2024-01-11,钢铁,螺纹钢,A类,14748.67,5058057.48,10850566.7,5227351.27,190152.54,91.4,342.95
STEEL_A_001,2024-01-12,钢铁,螺纹钢,A类,12181.55,4177661.89,8990804.26,4331395.16,157054.96,91.4,342.95
STEEL_A_001,2024-01-13,钢铁,螺纹钢,A类,4335.87,1486986.79,3260110.74,1570585.62,55901.76,91.4,342.95
STEEL_A_001,2024-01-14,钢铁,螺纹钢,A类,6426.47,2203956.9,4873354.43,2347779.26,82855.52,91.4,342.95
STEEL_A_001,2024-01-15,钢铁,螺纹钢,A类,12051.71,4133133.0,9615381.31,4632290.38,155380.94,91.4,342.95
STEEL_A_001,2024-01-16,钢铁,螺纹钢,A类,14778.26,5068204.64,11001528.56,5300078.41,190534.01,91.4,342.95
STEEL_A_001,2024-01-17,钢铁,螺纹钢,A类,13803.18,4733800.97,10476236.11,5047014.38,177962.44,91.4,342.95
STEEL_A_001,2024-01-18,钢铁,螺纹钢,A类,16325.91,5598970.72,12593071.17,6066817.38,210487.62,91.4,342.95
STEEL_A_001,2024-01-19,钢铁,螺纹钢,A类,15616.68,5355741.2,12284649.57,5918232.69,201343.65,91.4,342.95
STEEL_A_001,2024-01-20,钢铁,螺纹钢,A类,3979.95,1364924.96,3002905.18,1446674.69,51312.97,91.4,342.95
STEEL_A_001,2024-01-21,钢铁,螺纹钢,A类,4952.04,1698301.8,3953115.17,1904446.3,63845.93,91.4,342.95
STEEL_A_001,2024-01-22,钢铁,螺纹钢,A类,14839.95,5089360.56,11548830.26,5563745.58,191329.34,91.4,342.95
STEEL_A_001,2024-01-23,钢铁,螺纹钢,A类,14526.19,4981757.98,11105440.94,5350139.07,187284.13,91.4,342.95
STEEL_A_001,2024-01-24,钢铁,螺纹钢,A类,12218.64,4190381.6,9428672.4,4542341.8,157533.14,91.4,342.95
STEEL_A_001,2024-01-25,钢铁,螺纹钢,A类,13079.57,4485637.17,10400019.93,5010296.59,168632.98,91.4,342.95
STEEL_A_001,2024-01-26,钢铁,螺纹钢,A类,12675.81,4347169.02,10167156.08,4898112.49,163427.41,91.4,342.95
STEEL_A_001,2024-01-27,钢铁,螺纹钢,A类,4671.15,1601970.19,3436974.37,1655791.15,60224.44,91.4,342.95
STEEL_A_001,2024-01-28,钢铁,螺纹钢,A类,6736.26,2310198.76,5306539.41,2556469.75,86849.58,91.4,342.95
STEEL_A_001,2024-01-29,钢铁,螺纹钢,A类,12343.65,4233256.44,9370359.03,4514248.84,159144.98,91.4,342.95
STEEL_A_001,2024-01-30,钢铁,螺纹钢,A类,16001.28,5487638.94,12804950.44,6168891.98,206302.22,91.4,342.95
STEEL_A_001,2024-01-31,钢铁,螺纹钢,A类,13847.0,4748827.52,10839152.27,5221852.27,178527.35,91.4,342.95
STEEL_A_001,2024-02-01,钢铁,螺纹钢,A类,14710.46,5044953.9,11049254.84,5323070.94,189659.92,91.4,342.95
STEEL_A_001,2024-02-02,钢铁,螺纹钢,A类,13311.9,4565316.75,10154732.9,4892127.52,171628.45,91.4,342.95
STEEL_A_001,2024-02-03,钢铁,螺纹钢,A类,9306.5,3191662.72,7385656.17,3558101.64,119987.32,91.4,342.95
STEEL_A_001,2024-02-04,钢铁,螺纹钢,A类,6435.35,2207003.14,4794104.61,2309600.0,82970.04,91.4,342.95
STEEL_A_001,2024-02-05,钢铁,螺纹钢,A类,16714.98,5732401.16,12591744.79,6066178.38,215503.8,91.4,342.95
STEEL_A_001,2024-02-06,钢铁,螺纹钢,A类,14739.23,5054818.24,10953654.64,5277014.75,190030.76,91.4,342.95
STEEL_A_001,2024-02-07,钢铁,螺纹钢,A类,15055.81,5163390.41,11846206.63,5707009.13,194112.42,91.4,342.95
STEEL_A_001,2024-02-08,钢铁,螺纹钢,A类,12577.94,4313604.88,9497789.35,4575639.46,162165.6,91.4,342.95
STEEL_A_001,2024-02-09,钢铁,螺纹钢,A类,12868.47,4413241.27,10215021.36,4921171.99,165911.33,91.4,342.95
STEEL_A_001,2024-02-10,钢铁,螺纹钢,A类,6440.45,2208752.72,4743662.72,2285299.2,83035.82,91.4,342.95
STEEL_A_001,2024-02-11,钢铁,螺纹钢,A类,10465.41,3589112.46,7728458.23,3723249.4,134929.04,91.4,342.95
STEEL_A_001,2024-02-12,钢铁,螺纹钢,A类,12601.36,4321634.74,9899147.59,4768997.15,162467.47,91.4,342.95
STEEL_A_001,2024-02-13,钢铁,螺纹钢,A类,13840.71,4746672.36,10597247.65,5105312.7,178446.33,91.4,342.95
STEEL_A_001,2024-02-14,钢铁,螺纹钢,A类,13394.11,4593510.6,10626401.89,5119358.0,172688.37,91.4,342.95
STEEL_A_001,2024-02-15,钢铁,螺纹钢,A类,12748.53,4372109.34,9817943.36,4729876.34,164365.01,91.4,342.95
STEEL_A_001,2024-02-16,钢铁,螺纹钢,A类,13918.05,4773196.75,10497650.35,5057330.87,179443.49,91.4,342.95
STEEL_A_001,2024-02-17,钢铁,螺纹钢,A类,8905.8,3054245.7,6795696.73,3273883.74,114821.27,91.4,342.95
STEEL_A_001,2024-02-18,钢铁,螺纹钢,A类,4849.97,1663297.67,3628633.88,1748124.72,62529.99,91.4,342.95
STEEL_A_001,2024-02-19,钢铁,螺纹钢,A类,13407.67,4598160.68,10036369.33,4835104.88,172863.18,91.4,342.95
STEEL_A_001,2024-02-20,钢铁,螺纹钢,A类,11596.9,3977157.44,9005319.14,4338387.82,149517.2,91.4,342.95
STEEL_A_001,2024-02-21,钢铁,螺纹钢,A类,13753.08,4716618.3,10898914.6,5250643.28,177316.48,91.4,342.95
STEEL_A_001,2024-02-22,钢铁,螺纹钢,A类,11432.65,3920827.09,8907980.19,4291493.97,147399.51,91.4,342.95
STEEL_A_001,2024-02-23,钢铁,螺纹钢,A类,11729.45,4022616.02,9357339.87,4507976.76,151226.17,91.4,342.95
STEEL_A_001,2024-02-24,钢铁,螺纹钢,A类,6916.77,2372106.98,5445143.31,2623243.34,89176.95,91.4,342.95
STEEL_A_001,2024-02-25,钢铁,螺纹钢,A类,5689.5,1951213.16,4206035.57,2026292.82,73353.88,91.4,342.95
STEEL_A_001,2024-02-26,钢铁,螺纹钢,A类,13353.91,4579723.6,10216831.09,4922043.84,172170.06,91.4,342.95
STEEL_A_001,2024-02-27,钢铁,螺纹钢,A类,15312.4,5251386.28,12267654.11,5910044.98,197420.54,91.4,342.95
STEEL_A_001,2024-02-28,钢铁,螺纹钢,A类,11942.13,4095552.89,9030296.41,4350420.83,153968.15,91.4,342.95
STEEL_A_001,2024-02-29,钢铁,螺纹钢,A类,14578.48,4999688.58,10872195.97,5237771.35,187958.22,91.4,342.95
STEEL_A_001,2024-03-01,钢铁,螺纹钢,A类,13421.13,4602775.51,9155502.07,4410739.71,173036.67,91.4,342.95
STEEL_A_001,2024-03-02,钢铁,螺纹钢,A类,8572.64,2939985.4,5946431.9,2864743.31,110525.77,91.4,342.95
STEEL_A_001,2024-03-03,钢铁,螺纹钢,A类,7983.35,2737891.35,5319054.75,2562499.12,102928.25,91.4,342.95
STEEL_A_001,2024-03-04,钢铁,螺纹钢,A类,16991.81,5827341.0,12409766.3,5978508.72,219072.97,91.4,342.95
STEEL_A_001,2024-03-05,钢铁,螺纹钢,A类,16708.11,5730047.25,11266968.95,5427956.54,215415.31,91.4,342.95
STEEL_A_001,2024-03-06,钢铁,螺纹钢,A类,12998.6,4457868.85,8978344.0,4325392.33,167589.05,91.4,342.95
STEEL_A_001,2024-03-07,钢铁,螺纹钢,A类,11723.26,4020491.05,8575282.82,4131214.23,151146.28,91.4,342.95
STEEL_A_001,2024-03-08,钢铁,螺纹钢,A类,13603.53,4665329.19,9447394.46,4551361.31,175388.32,91.4,342.95
STEEL_A_001,2024-03-09,钢铁,螺纹钢,A类,9238.48,3168336.19,6764244.81,3258731.52,119110.38,91.4,342.95
STEEL_A_001,2024-03-10,钢铁,螺纹钢,A类,8269.66,2836080.12,5569930.3,2683360.51,106619.55,91.4,342.95
STEEL_A_001,2024-03-11,钢铁,螺纹钢,A类,14222.02,4877440.41,10000122.31,4817642.57,183362.42,91.4,342.95
STEEL_A_001,2024-03-12,钢铁,螺纹钢,A类,14718.37,5047666.67,9813137.64,4727561.14,189761.91,91.4,342.95
STEEL_A_001,2024-03-13,钢铁,螺纹钢,A类,14205.41,4871744.55,10259521.29,4942610.2,183148.29,91.4,342.95
STEEL_A_001,2024-03-14,钢铁,螺纹钢,A类,13569.48,4653654.29,9068862.25,4369000.25,174949.41,91.4,342.95
STEEL_A_001,2024-03-15,钢铁,螺纹钢,A类,12780.84,4383188.47,9072391.04,4370700.27,164781.52,91.4,342.95
STEEL_A_001,2024-03-16,钢铁,螺纹钢,A类,4435.58,1521181.8,3215117.16,1548909.59,57187.29,91.4,342.95
STEEL_A_001,2024-03-17,钢铁,螺纹钢,A类,6880.35,2359614.97,4857169.27,2339981.93,88707.33,91.4,342.95
STEEL_A_001,2024-03-18,钢铁,螺纹钢,A类,13738.17,4711505.59,9605857.76,4627702.33,177124.27,91.4,342.95
STEEL_A_001,2024-03-19,钢铁,螺纹钢,A类,14727.63,5050841.97,10496413.83,5056735.16,189881.28,91.4,342.95
STEEL_A_001,2024-03-20,钢铁,螺纹钢,A类,12496.05,4285519.06,8867162.8,4271829.85,161109.74,91.4,342.95
