,date(YYYY/MM/DD),total_transation_volume(tons),total_price(RMB),average_price(RMB/ton),upper(%)
0,2024-01-22,375315,23835280.0,63.51,——
1,2025-03-07,748800,60241797.62,80.45,26.67
2,2025-03-10,148136,15903820.12,107.36,33.45
3,2025-03-11,100,10600.0,106.0,-1.27
4,2025-03-12,8518,819485.8,96.21,-9.24
5,2025-03-13,5460,397542.6,72.81,-24.32
6,2025-03-14,26836,2485834.56,92.63,27.22
7,2025-03-17,14260,1449280.2,101.63,9.72
8,2025-03-18,2014,213444.52,105.98,4.28
9,2025-03-19,600,55200.0,92.0,-13.19
10,2025-03-20,2130,218408.4,102.54,11.46
11,2025-03-21,500,42749.0,85.5,-16.62
12,2025-03-24,300,27120.0,90.4,5.73
13,2025-03-25,100,9550.0,95.5,5.64
14,2025-03-26,101,9558.0,94.63,-0.91
15,2025-03-27,2210,226414.9,102.45,8.26
16,2025-03-28,45100,4271265.0,94.71,-7.55
17,2025-03-31,10000,936700.0,93.67,-1.1
18,2025-04-01,9,900.9,100.1,6.86
19,2025-04-02,40,3920.0,98.0,-2.1
20,2025-04-03,100,9300.0,93.0,-5.1
21,2025-04-07,2,187.34,93.67,0.72
22,2025-04-08,60100,6039367.0,100.49,7.28
23,2025-04-09,202,19155.12,94.83,-5.63
24,2025-04-10,20272,1915712.1,94.5,-0.35
25,2025-04-11,100,9390.0,93.9,-0.63
26,2025-04-14,65303,6543442.29,100.2,6.71
27,2025-04-15,100,9387.0,93.87,-6.32
28,2025-04-16,100,9380.0,93.8,-0.07
29,2025-04-17,100,9360.0,93.6,-0.21
30,2025-04-18,1,101.22,101.22,8.14
31,2025-04-21,40100,4029500.0,100.49,-0.72
32,2025-04-22,3,294.0,98.0,-2.48
33,2025-04-23,1015,96425.0,95.0,-3.06
34,2025-04-24,100,9400.0,94.0,-1.05
35,2025-04-25,40002,4020172.6,100.5,6.91
36,2025-04-28,71632,6765080.5,94.44,-6.03
37,2025-04-29,20,1900.0,95.0,0.59
38,2025-04-30,26,2499.5,96.13,1.19
39,2025-05-06,10,950.0,95.0,-1.18
40,2025-05-07,10,950.0,95.0,0
41,2025-05-08,20030,1822970.0,91.01,-4.2
42,2025-05-09,40000,3600000.0,90.0,-1.11
43,2025-05-12,100,9200.0,92.0,2.22
44,2025-05-13,24,2208.0,92.0,0
45,2025-05-14,1101,99095.5,90.0,-2.17
46,2025-05-15,2300,200057.0,86.98,-3.36
47,2025-05-16,4201,361209.0,85.98,-1.15
48,2025-05-19,100,8800.0,88.0,2.35
49,2025-05-20,1000,84000.0,84.0,-4.55
50,2025-05-21,100,8800.0,88.0,4.76
51,2025-05-22,300,26007.0,86.69,-1.49
52,2025-05-23,35039,3153559.0,90.0,3.82
53,2025-05-26,35000,3099950.0,88.57,-1.59
54,2025-05-27,30000,2550000.0,85.0,-4.03
55,2025-05-28,10000,870000.0,87.0,2.35
56,2025-05-29,130,11120.0,85.54,-1.68
57,2025-05-30,10000,855000.0,85.5,-0.05
58,2025-06-03,100,8800.0,88.0,2.92
59,2025-06-04,100,8600.0,86.0,-2.27
60,2025-06-05,1000,85000.0,85.0,-1.16
61,2025-06-06,100,8500.0,85.0,0
