,date,price(RMB/ton),highest(RMB/ton),lower(RMB/ton),close(RMB/ton),upper(percent),daily_total_volume(tons),daily_total_transaction_volume(RMB)
0,2025/12/10,59.55,59.55,58.70,58.90,-1.01%,"846,233","53,887,272.19"
1,2025/12/9,60.16,60.17,58.70,59.50,-1.10%,"2,647,913","158,127,260.06"
2,2025/12/8,59.45,60.20,59.45,60.16,+0.17%,"2,317,372","137,504,205.10"
3,2025/12/5,60.05,60.12,59.81,60.06,+0.05%,"1,559,893","91,952,592.28"
4,2025/12/4,58.92,60.12,58.92,60.03,+0.22%,"1,251,168","73,394,841.58"
5,2025/12/3,59.66,60.13,59.56,59.90,+0.25%,"866,046","50,740,542.10"
6,2025/12/2,58.64,60.07,58.16,59.75,-0.15%,"866,682","51,890,267.90"
7,2025/12/1,58.59,61.67,58.59,59.84,+0.32%,"2,274,597","130,961,526.10"
8,2025/11/28,60.11,60.11,58.80,59.65,-0.93%,"2,183,525","131,099,949.40"
9,2025/11/27,59.09,60.59,59.09,60.21,+1.02%,"3,050,628","173,480,350.32"
10,2025/11/26,60.07,60.07,59.29,59.60,-0.93%,"2,420,912","141,298,024.96"
11,2025/11/25,62.00,62.00,59.87,60.16,-3.79%,"1,611,024","93,738,146.80"
12,2025/11/24,65.02,65.42,62.24,62.53,-4.20%,"782,110","45,676,284.85"
13,2025/11/21,67.00,67.87,65.13,65.27,-3.83%,"600,242","37,631,878.37"
14,2025/11/20,67.34,70.14,66.92,67.87,+1.51%,"3,014,424","184,939,092.99"
15,2025/11/19,61.96,67.94,61.96,66.86,+8.26%,"2,054,930","132,520,845.61"
16,2025/11/18,60.99,61.96,60.02,61.76,+1.53%,"3,353,693","193,421,783.05"
17,2025/11/17,60.17,61.23,60.17,60.83,+1.10%,"2,671,091","152,514,835.10"
18,2025/11/14,60.44,60.98,59.24,60.17,-0.69%,"3,389,486","197,851,052.20"
19,2025/11/13,60.90,62.00,59.94,60.59,-0.62%,"3,260,779","194,413,107.01"
20,2025/11/12,61.82,62.48,60.30,60.97,+0.05%,"2,916,200","170,557,522.30"
21,2025/11/11,58.26,62.02,58.26,60.94,+3.22%,"4,202,878","265,849,301.28"
22,2025/11/10,57.79,60.66,57.72,59.04,+2.16%,"3,005,646","178,836,058.63"
23,2025/11/7,55.05,58.51,55.05,57.79,+5.34%,"3,327,737","172,668,285.27"
24,2025/11/6,52.97,55.80,52.97,54.86,+3.78%,"1,399,363","73,447,292.03"
25,2025/11/5,52.65,53.40,51.56,52.86,+0.17%,"1,728,920","85,748,157.35"
26,2025/11/4,53.00,53.42,52.40,52.77,+0.08%,"1,252,454","55,659,079.32"
27,2025/11/3,51.54,53.28,51.54,52.73,+1.48%,"1,527,183","75,617,894.30"
28,2025/10/31,51.18,53.02,51.14,51.96,+1.39%,"1,532,361","67,710,117.01"
29,2025/10/30,51.24,51.90,50.34,51.25,+0.02%,"3,000,585","130,720,247.74"
30,2025/10/29,52.59,52.59,51.02,51.24,-0.95%,"3,516,789","177,248,042.01"
31,2025/10/28,54.21,54.61,51.44,51.73,-3.69%,"5,477,083","263,734,002.53"
32,2025/10/27,55.14,55.14,52.87,53.71,-1.81%,"7,378,582","352,412,726.82"
33,2025/10/24,53.10,55.67,53.10,54.70,+1.54%,"2,478,046","120,418,067.22"
34,2025/10/23,52.43,54.67,52.43,53.87,+1.72%,"847,941","38,117,309.94"
35,2025/10/22,52.30,54.27,52.09,52.96,+0.70%,"1,964,527","92,835,003.72"
36,2025/10/21,52.11,52.88,52.11,52.59,+2.43%,"1,072,941","40,893,117.40"
37,2025/10/20,52.19,52.28,51.21,51.34,-1.67%,"1,263,847","54,192,619.05"
38,2025/10/17,53.12,53.12,52.18,52.21,-3.30%,"3,247,735","137,825,854.80"
39,2025/10/16,56.14,56.14,52.26,53.99,-2.58%,"2,891,732","140,916,851.89"
40,2025/10/15,56.02,56.42,54.03,55.42,-0.72%,"2,974,850","162,918,393.53"
41,2025/10/14,57.15,57.18,55.20,55.82,-2.33%,"1,101,704","49,362,289.12"
42,2025/10/13,58.20,58.20,56.80,57.15,-1.85%,"1,592,544","91,269,097.81"
43,2025/10/10,59.30,59.30,57.90,58.23,-0.97%,"981,263","53,848,590.40"
44,2025/10/9,58.68,58.80,58.68,58.80,+1.43%,"240,000","14,012,000.00"
45,2025/9/30,57.72,58.52,57.72,57.97,-1.06%,"3,595,307","204,890,100.96"
46,2025/9/29,59.17,60.30,58.34,58.59,-0.96%,"1,750,073","100,614,979.54"
47,2025/9/26,59.77,59.77,58.60,59.16,-1.00%,"3,182,885","184,088,958.12"
48,2025/9/25,58.37,60.20,58.20,59.76,+2.14%,"1,657,734","102,035,596.38"
49,2025/9/24,60.03,60.24,58.16,58.51,-2.21%,"1,422,921","90,379,122.10"
50,2025/9/23,59.63,60.33,59.57,59.83,+0.69%,"1,570,400","92,203,064.49"
51,2025/9/22,59.38,60.28,59.24,59.42,-0.44%,"293,195","16,159,945.45"
52,2025/9/19,60.49,60.80,59.12,59.68,-1.08%,"1,318,100","78,995,375.21"
53,2025/9/18,61.02,61.40,59.22,60.33,-0.41%,"1,461,213","83,126,991.34"
54,2025/9/17,61.26,61.30,59.80,60.58,-0.54%,"701,258","40,544,637.19"
55,2025/9/16,61.45,61.45,60.25,60.91,-0.83%,"1,505,975","98,928,023.89"
56,2025/9/15,62.01,62.09,61.41,61.42,-1.05%,"533,146","37,174,486.75"
57,2025/9/12,63.28,63.41,61.95,62.07,-1.91%,"1,141,880","69,721,682.43"
58,2025/9/11,63.55,64.10,63.20,63.28,-0.42%,"1,055,358","65,481,148.79"
59,2025/9/10,64.24,64.24,63.53,63.55,-1.40%,"1,348,177","84,747,577.57"
60,2025/9/9,64.47,65.27,64.18,64.45,-0.45%,"1,148,452","71,829,036.30"
61,2025/9/8,66.14,66.14,64.55,64.74,-2.18%,"634,218","40,832,023.60"
62,2025/9/5,67.73,67.73,66.01,66.18,-2.60%,"478,812","31,640,465.55"
63,2025/9/4,68.58,68.68,67.45,67.95,-1.18%,"2,727,076","180,868,960.01"
64,2025/9/2,69.24,69.24,68.59,68.75,-0.95%,"1,632,652","98,008,295.71"
65,2025/9/1,69.25,69.49,69.25,69.41,+0.16%,"469,600","32,793,497.40"
66,2025/8/29,69.57,69.71,69.23,69.30,-0.22%,"1,612,375","110,482,374.62"
67,2025/8/28,69.60,69.66,69.35,69.45,-0.39%,"1,266,569","86,463,222.68"
68,2025/8/27,69.80,70.39,69.48,69.72,+0.04%,"2,283,939","152,448,838.14"
69,2025/8/26,70.20,70.40,69.66,69.69,-0.92%,"569,883","39,645,413.89"
70,2025/8/25,70.20,70.69,70.03,70.34,+0.06%,"304,719","21,349,326.43"
71,2025/8/22,70.33,70.33,70.24,70.30,-0.09%,"49,846","3,484,021.35"
72,2025/8/21,70.06,70.55,69.93,70.36,-0.30%,"501,896","34,933,361.65"
73,2025/8/20,70.89,70.95,70.45,70.57,-0.49%,"1,081,065","76,118,755.99"
74,2025/8/19,71.03,71.03,70.85,70.92,+0.08%,"250,528","17,819,758.10"
75,2025/8/18,71.31,71.31,70.85,70.86,-0.99%,"390,844","27,932,689.60"
76,2025/8/15,71.74,71.74,71.53,71.57,-0.21%,"929,519","67,207,586.80"
77,2025/8/14,71.51,71.85,71.51,71.72,+0.43%,"541,862","39,034,800.70"
78,2025/8/13,71.45,71.45,71.30,71.41,-0.15%,"259,928","18,986,830.00"
79,2025/8/12,72.13,72.17,71.46,71.52,-0.67%,"482,938","35,174,212.59"
80,2025/8/11,72.07,72.08,71.94,72.00,-0.12%,"817,406","46,422,735.40"
81,2025/8/8,72.19,72.23,72.01,72.09,-0.04%,"369,079","26,975,942.00"
82,2025/8/7,72.18,72.28,72.07,72.12,-0.10%,"193,022","12,303,797.10"
83,2025/8/6,72.26,72.42,72.16,72.19,-0.26%,"1,382,300","98,482,210.00"
84,2025/8/5,72.40,72.47,72.33,72.38,-0.33%,"1,021,368","67,695,729.15"
85,2025/8/4,72.68,72.68,72.30,72.62,+0.26%,"277,000","20,381,810.00"
86,2025/8/1,72.55,72.60,72.27,72.43,-0.07%,"522,725","39,091,812.60"
87,2025/7/31,73.62,73.62,72.33,72.48,-1.36%,"667,031","48,018,407.80"
88,2025/7/30,73.67,73.67,73.44,73.48,+0.22%,"333,300","24,536,810.00"
89,2025/7/29,73.08,73.65,73.08,73.32,-0.46%,"658,010","48,302,162.60"
90,2025/7/28,73.69,73.69,73.65,73.66,-0.05%,"310,183","22,297,694.80"
91,2025/7/25,73.85,73.85,73.49,73.70,-0.19%,"288,406","21,370,344.81"
92,2025/7/24,73.81,73.85,73.79,73.84,+0.04%,"540,860","39,827,432.64"
93,2025/7/23,73.38,73.82,73.20,73.81,+0.70%,"687,450","48,240,785.60"
94,2025/7/22,73.07,73.31,73.07,73.30,+0.25%,"1,105,900","78,444,770.00"
95,2025/7/21,72.92,73.28,72.92,73.12,+0.41%,"614,641","45,547,851.80"
96,2025/7/18,72.21,73.26,72.19,72.82,-0.16%,"476,400","35,108,200.00"
97,2025/7/17,72.66,73.21,72.66,72.94,-0.05%,"640,820","46,044,860.22"
98,2025/7/16,72.61,73.29,72.19,72.98,-0.55%,"1,038,874","77,126,412.41"
99,2025/7/15,73.39,73.59,73.09,73.38,+0.40%,"278,720","20,839,130.00"
100,2025/7/14,73.26,73.27,73.09,73.09,-0.16%,"31,100","2,308,800.00"
101,2025/7/11,73.30,73.40,73.11,73.21,-1.47%,"514,700","38,241,076.50"
102,2025/7/10,74.15,74.30,74.15,74.30,+0.18%,"603,389","44,202,568.00"
103,2025/7/9,74.20,74.20,74.17,74.17,-0.07%,"579,881","44,956,712.00"
104,2025/7/8,74.74,74.74,74.09,74.22,-0.75%,"229,000","17,122,600.00"
105,2025/7/7,74.48,74.78,74.37,74.78,+0.94%,"41,000","3,121,900.00"
106,2025/7/4,74.01,74.17,74.01,74.08,+0.07%,"326,812","24,215,092.40"
107,2025/7/3,73.47,74.25,73.47,74.03,+1.26%,"311,839","23,106,253.80"
108,2025/7/2,73.69,73.69,72.57,73.11,-1.58%,"605,000","44,242,500.00"
109,2025/7/1,74.26,74.47,73.97,74.28,-0.99%,"780,910","57,839,340.90"
110,2025/6/30,75.54,77.10,74.23,75.02,-1.99%,"440,694","29,679,308.00"
111,2025/6/27,75.47,77.20,75.47,76.54,-0.04%,"1,386,460","103,926,863.90"
112,2025/6/26,75.70,76.70,75.70,76.57,+0.79%,"1,854,606","135,193,723.70"
113,2025/6/25,74.14,76.34,73.87,75.97,+2.22%,"803,825","61,442,562.50"
114,2025/6/24,72.82,75.25,72.82,74.32,+0.81%,"1,847,395","145,738,933.84"
115,2025/6/23,73.24,73.82,73.24,73.72,+0.97%,"653,052","45,748,970.04"
116,2025/6/20,72.82,73.68,72.82,73.01,-0.59%,"832,898","60,884,883.30"
117,2025/6/19,72.14,73.72,72.14,73.44,+0.88%,"1,474,340","109,666,654.10"
118,2025/6/18,72.92,73.02,72.04,72.80,+0.17%,"201,000","14,757,780.00"
119,2025/6/17,69.06,72.72,69.06,72.68,+5.29%,"768,021","52,239,436.11"
120,2025/6/16,71.16,72.90,69.00,69.03,-2.72%,"247,148","17,417,309.20"
121,2025/6/13,70.62,70.96,70.62,70.96,+0.81%,"434,500","30,933,900.00"
122,2025/6/12,67.62,70.48,67.62,70.39,+2.79%,"182,000","12,746,790.00"
123,2025/6/11,67.05,68.64,67.05,68.48,+1.20%,"852,487","59,303,156.00"
124,2025/6/10,67.10,67.88,67.10,67.67,-0.01%,"1,016,716","70,140,406.00"
125,2025/6/9,67.85,67.85,67.60,67.68,-0.32%,"669,212","46,030,628.00"
126,2025/6/6,67.12,68.86,67.12,67.90,+0.27%,"1,268,612","86,900,004.12"
127,2025/6/5,68.88,68.88,67.41,67.72,-0.41%,"367,940","22,617,980.00"
128,2025/6/4,68.64,68.64,67.92,68.00,-0.50%,"271,987","18,438,322.50"
129,2025/6/3,68.34,68.36,68.34,68.34,-0.18%,"311,782","21,275,385.00"
130,2025/5/30,67.91,68.72,67.91,68.46,+0.37%,"658,520","45,232,261.20"
131,2025/5/29,68.45,68.45,68.21,68.21,-0.35%,"308,914","20,159,981.10"
132,2025/5/28,68.36,68.75,68.35,68.45,-0.01%,"301,529","20,668,715.50"
133,2025/5/27,68.69,68.93,68.35,68.46,-0.54%,"405,848","28,100,031.93"
134,2025/5/26,68.91,69.27,68.83,68.83,-0.84%,"447,516","31,496,223.36"
135,2025/5/23,69.47,69.54,69.36,69.41,-0.72%,"576,358","41,899,119.30"
136,2025/5/22,70.01,70.01,69.88,69.91,-0.57%,"311,506","22,247,065.00"
137,2025/5/21,70.51,70.51,70.29,70.31,-0.04%,"1,139,426","81,084,676.70"
138,2025/5/20,70.23,70.38,70.23,70.34,+0.01%,"846,796","57,986,051.27"
139,2025/5/19,70.33,70.46,70.30,70.33,-0.13%,"525,553","37,308,367.20"
140,2025/5/16,70.41,70.44,70.41,70.42,+0.03%,"249,700","17,727,850.00"
141,2025/5/15,70.40,70.44,70.30,70.40,+0.06%,"586,041","40,689,481.00"
142,2025/5/14,70.20,70.52,70.16,70.36,+0.31%,"394,565","27,898,462.50"
143,2025/5/13,70.14,70.34,70.00,70.14,0,"2,116,249","156,350,711.60"
