日期,日总发电量(亿kWh),火力占比(%),水力占比(%),核能占比(%),风力占比(%),太阳能占比(%),C_end(终端综合碳因子)
2024-01-01,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-02,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-03,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-04,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-05,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-06,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-07,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-08,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-09,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-10,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-11,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-12,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-13,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-14,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-15,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-16,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-17,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-18,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-19,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-20,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-21,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-22,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-23,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-24,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-25,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-26,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-27,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-28,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-29,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-30,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-01-31,241.1903225806452,69.56,9.52,4.66,12.1,4.16,0.653
2024-02-01,257.8241379310345,69.56,9.52,4.66,12.1,4.16,0.653
2024-02-02,257.8241379310345,69.56,9.52,4.66,12.1,4.16,0.653
2024-02-03,257.8241379310345,69.56,9.52,4.66,12.1,4.16,0.653
2024-02-04,257.8241379310345,69.56,9.52,4.66,12.1,4.16,0.653
2024-02-05,257.8241379310345,69.56,9.52,4.66,12.1,4.16,0.653
